交易时间,交易金额,转账附言,渠道,发起方id,发起方年龄,发起方所处地区,接收方ID
2017-12-23 08:14:11,1657000,昨天吃饭AA,普通转账,3162,20,北京,3
2017-12-23 08:19:58,952200,还钱,普通转账,458,40,北京,22
2017-12-23 08:21:52,3185400,一季度房租,普通转账,1306,33,安徽,18
2017-12-23 08:29:46,2507000,一季度房租,跨境转账,2758,31,柬埔寨,24
2017-12-23 08:43:38,4972800,还给你,普通转账,20,40,四川,21
2017-12-23 08:45:58,1329500,-,线下付款,1335,22,广东,68
2017-12-23 08:46:55,273100,-,线下付款,3476,33,广东,48
2017-12-23 08:56:44,4326000,-,线下付款,1582,37,贵州,78
2017-12-23 08:57:02,1859100,-,线下付款,5014,42,贵州,75
2017-12-23 08:57:06,3411000,-,线下付款,4523,23,安徽,32
2017-12-23 09:00:15,1097600,-,线下付款,1489,26,福建,9
2017-12-23 09:08:27,2251400,劳务费,普通转账,4951,18,福建,56
2017-12-23 09:11:39,3244900,-,线下付款,1188,38,云南,57
2017-12-23 09:17:25,2100800,-,线下付款,1559,30,重庆,66
2017-12-23 09:20:00,3110100,-,线下付款,6236,32,福建,69
2017-12-23 09:25:31,2104700,转账,普通转账,6734,18,重庆,86
2017-12-23 09:27:18,1639500,上次买的xx,普通转账,4479,31,安徽,85
2017-12-23 09:36:40,1325300,-,线下付款,3188,46,四川,37
2017-12-23 09:41:57,3779800,-,线下付款,1784,25,四川,50
2017-12-23 09:47:43,4900900,-,线下付款,4389,28,广东,26
2017-12-23 09:52:17,4909200,李xx给张xx的钱,跨境转账,4718,30,法国,92
2017-12-23 09:54:52,2830600,工资,普通转账,1161,18,广东,8
2017-12-23 10:15:17,3810100,-,线上付款,105,29,云南,52
2017-12-23 10:16:24,3472300,-,线上付款,5473,45,北京,88
2017-12-23 10:17:19,2077800,工资,跨境转账,5653,30,柬埔寨,26
2017-12-23 10:20:47,4862800,奖金,普通转账,6918,39,浙江,29
2017-12-23 10:22:05,2414700,王xx专用款,普通转账,5667,21,云南,98
2017-12-23 10:24:18,2442200,还给你,普通转账,5055,30,浙江,3
2017-12-23 10:32:31,4383000,-,线下付款,6799,35,上海,44
2017-12-23 10:34:25,736900,上次买的xx,普通转账,1587,38,四川,97
2017-12-23 10:34:38,136400,-,线下付款,843,31,上海,67
2017-12-23 10:38:29,3230500,-,线上付款,4399,43,安徽,71
2017-12-23 10:50:21,3486900,上次买的xx,跨境转账,2831,40,英国,66
2017-12-23 10:56:54,3576800,-,线下付款,1990,48,云南,73
2017-12-23 10:58:18,4586100,拿去花,普通转账,6497,50,北京,42
2017-12-23 10:58:24,3755500,水电费,普通转账,4375,18,福建,19
2017-12-23 11:04:41,3434500,本月生活费,普通转账,6886,31,新疆,44
2017-12-23 11:05:26,4178100,-,线上付款,1675,29,贵州,19
2017-12-23 11:09:20,4184500,转账,跨境转账,5463,22,英国,37
2017-12-23 11:15:35,491300,工资,普通转账,827,28,黑龙江,40
2017-12-23 11:28:06,995300,奖金,普通转账,2159,25,四川,18
2017-12-23 11:31:12,1843200,-,线下付款,4492,21,黑龙江,78
2017-12-23 11:33:50,767500,奖金,普通转账,734,44,北京,41
2017-12-23 11:39:33,490100,昨天吃饭AA,普通转账,5742,49,四川,50
2017-12-23 11:42:48,2434800,还给你,普通转账,4677,32,安徽,33
2017-12-23 11:52:48,2459700,利息,普通转账,4416,47,上海,43
2017-12-23 11:52:57,1973100,昨天吃饭AA,普通转账,2343,45,内蒙古,83
2017-12-23 12:19:41,2162700,-,线下付款,3926,27,云南,51
2017-12-23 12:20:50,1381300,-,线下付款,590,28,黑龙江,7
2017-12-23 12:30:15,645500,-,线下付款,3667,41,内蒙古,26
2017-12-23 12:33:09,160200,-,线下付款,1640,32,内蒙古,7
2017-12-23 12:33:53,3429800,-,线下付款,5793,25,内蒙古,34
2017-12-23 12:36:16,1450600,-,线下付款,890,31,四川,87
2017-12-23 12:39:17,4140600,-,线下付款,5911,37,北京,11
2017-12-23 12:44:42,133700,王xx专用款,跨境转账,1156,37,韩国,32
2017-12-23 12:44:45,137200,转账,普通转账,938,27,内蒙古,56
2017-12-23 12:46:14,1103500,-,线下付款,5438,34,黑龙江,61
2017-12-23 12:46:49,2359000,-,线下付款,1589,34,黑龙江,21
2017-12-23 12:49:50,1316400,-,线下付款,1500,34,黑龙江,59
2017-12-23 12:50:37,4141600,转账,跨境转账,6707,22,美国,87
2017-12-23 12:56:05,2676700,拿去花,普通转账,6163,29,云南,25
2017-12-23 12:56:44,4275900,-,线下付款,2079,24,北京,81
2017-12-23 13:04:50,3168900,-,线下付款,3738,30,贵州,51
2017-12-23 13:04:54,3708100,水电费,普通转账,3437,26,广东,82
2017-12-23 13:06:21,462200,奖金,普通转账,5281,34,云南,55
2017-12-23 13:27:43,3934100,上次买的xx,普通转账,6583,44,福建,100
2017-12-23 13:28:11,687400,还钱,普通转账,306,45,贵州,10
2017-12-23 13:42:02,1881600,李xx给张xx的钱,普通转账,52,24,广东,4
2017-12-23 13:45:06,1955500,昨天吃饭AA,普通转账,4504,24,贵州,15
2017-12-23 13:48:06,3755400,一季度房租,普通转账,2251,34,内蒙古,77
2017-12-23 13:49:37,2038700,劳务费,普通转账,958,23,北京,28
2017-12-23 13:55:46,1647400,工资,普通转账,5768,30,内蒙古,1
2017-12-23 13:57:44,1191300,转账,普通转账,6898,23,北京,39
2017-12-23 14:09:56,4310700,昨天吃饭AA,普通转账,1134,43,云南,37
2017-12-23 14:10:43,3069700,-,线下付款,3361,34,四川,3
2017-12-23 14:11:50,306700,王xx专用款,普通转账,153,23,北京,39
2017-12-23 14:37:13,2833500,-,线下付款,699,37,北京,25
2017-12-23 14:43:06,3208800,-,线下付款,5430,48,安徽,52
2017-12-23 14:44:30,1401700,拿去花,普通转账,1777,28,广东,31
2017-12-23 14:44:38,2090000,昨天吃饭AA,跨境转账,1483,35,日本,99
2017-12-23 14:54:27,3588100,奖金,普通转账,784,50,重庆,64
2017-12-23 15:04:51,497100,-,线下付款,5811,50,北京,2
2017-12-23 15:17:49,591600,水电费,普通转账,472,44,北京,60
2017-12-23 15:19:00,2254900,-,线下付款,6793,37,云南,20
2017-12-23 15:25:24,599100,-,线下付款,4775,18,福建,67
2017-12-23 15:33:03,4124300,-,线上付款,364,43,四川,44
2017-12-23 15:33:16,4493500,-,线下付款,5752,45,福建,40
2017-12-23 15:47:52,2319800,收款,普通转账,4320,35,福建,24
2017-12-23 15:57:20,2762700,还钱,普通转账,106,36,福建,96
2017-12-23 16:03:21,1312300,-,线下付款,6106,38,内蒙古,1
2017-12-23 16:06:31,3782800,奖金,普通转账,4157,19,内蒙古,29
2017-12-23 16:08:29,1584800,-,线下付款,1784,49,福建,5
2017-12-23 16:11:03,4605600,还给你,跨境转账,6321,24,法国,71
2017-12-23 16:21:37,2343200,-,线下付款,5636,39,新疆,58
2017-12-23 16:24:31,1877900,-,线下付款,732,44,云南,73
2017-12-23 16:26:03,399800,-,线上付款,1798,27,贵州,12
2017-12-23 16:46:51,4279100,劳务费,普通转账,6224,28,浙江,81
2017-12-23 16:58:53,613700,拿去花,普通转账,6429,35,云南,59
2017-12-23 17:11:40,2480000,收款,普通转账,618,37,云南,85
2017-12-23 17:14:24,2045500,-,线下付款,2467,30,内蒙古,13
2017-12-23 17:14:30,1330100,-,线下付款,2221,37,云南,9
2017-12-23 17:17:23,2075500,-,线下付款,281,36,安徽,79
2017-12-23 17:18:20,1219800,-,线下付款,369,45,四川,38
2017-12-23 17:22:22,4686000,一季度房租,跨境转账,4512,32,英国,56
2017-12-23 17:29:27,466200,-,线下付款,6078,45,四川,89
2017-12-23 17:38:31,1938600,王xx专用款,普通转账,4800,19,北京,48
2017-12-23 17:40:17,1920400,李xx给张xx的钱,普通转账,609,25,云南,11
2017-12-23 17:44:49,2811300,水电费,普通转账,5491,33,云南,51
2017-12-23 17:45:31,351000,-,线下付款,2052,36,重庆,60
2017-12-23 17:46:20,4999600,-,线上付款,5528,28,贵州,25
2017-12-23 17:48:55,2604100,还钱,普通转账,4150,25,浙江,45
2017-12-23 18:10:50,1059400,水电费,普通转账,1862,19,贵州,63
2017-12-23 18:15:35,2309300,本月生活费,普通转账,870,48,四川,91
2017-12-23 18:16:01,4365900,水电费,普通转账,5996,28,内蒙古,80
2017-12-23 18:22:16,2271200,-,线下付款,4965,34,安徽,83
2017-12-23 18:22:30,4499000,-,线下付款,5887,28,广东,38
2017-12-23 18:34:00,959500,-,线下付款,2690,41,内蒙古,92
2017-12-23 18:37:37,3512300,王xx专用款,普通转账,6692,40,浙江,62
2017-12-23 18:37:40,3766000,-,线下付款,2627,41,贵州,100
2017-12-23 18:43:09,4755700,拿去花,普通转账,4703,28,贵州,49
2017-12-23 18:48:15,3805500,一季度房租,普通转账,268,36,北京,77
2017-12-23 18:53:53,971100,-,线上付款,605,49,浙江,79
2017-12-23 18:53:59,686800,-,线下付款,4677,32,黑龙江,6
2017-12-23 19:04:45,766900,王xx专用款,普通转账,6789,23,黑龙江,11
2017-12-23 19:08:17,4182000,李xx给张xx的钱,普通转账,3916,25,内蒙古,98
2017-12-23 19:08:39,2568800,劳务费,普通转账,2256,47,黑龙江,33
2017-12-23 19:14:28,277500,-,线下付款,323,18,浙江,17
2017-12-23 19:18:37,2041400,-,线下付款,1543,34,黑龙江,45
2017-12-23 19:23:21,1054500,李xx给张xx的钱,普通转账,6541,26,重庆,86
2017-12-23 19:32:58,3537500,还给你,普通转账,2704,34,云南,38
2017-12-23 19:38:19,4145900,本月生活费,普通转账,2795,31,福建,35
2017-12-23 19:42:48,4690900,-,线下付款,6877,33,云南,23
2017-12-23 19:44:45,846400,劳务费,普通转账,3704,35,重庆,72
2017-12-23 19:47:48,3778300,王xx专用款,普通转账,6305,38,安徽,32
2017-12-23 19:58:23,1830800,-,线下付款,2499,18,贵州,62
2017-12-23 20:00:53,2636900,-,线上付款,600,35,贵州,25
2017-12-23 20:09:29,4277200,-,线下付款,6640,25,北京,56
2017-12-23 20:10:02,3086100,奖金,普通转账,3868,21,浙江,23
2017-12-23 20:12:23,2671900,-,线下付款,3513,38,安徽,58
2017-12-23 20:20:08,1449200,上次买的xx,普通转账,6821,48,广东,68
2017-12-23 20:36:53,674600,-,线下付款,4657,22,贵州,67
2017-12-23 20:45:08,3798200,-,线下付款,5170,31,云南,86
2017-12-23 20:46:28,1142600,利息,普通转账,4205,18,重庆,99
2017-12-23 20:54:59,4760200,-,线下付款,6257,49,内蒙古,72
2017-12-23 21:05:10,1495700,拿去花,普通转账,6610,39,上海,38
2017-12-23 21:09:42,71900,-,线上付款,5509,39,内蒙古,84
2017-12-23 21:10:57,2590700,利息,普通转账,795,50,浙江,77
2017-12-23 21:11:58,965300,水电费,普通转账,776,29,内蒙古,58
2017-12-23 21:12:59,3127200,-,线下付款,4872,41,广东,30
2017-12-23 21:14:32,966700,-,线下付款,4555,31,重庆,98
2017-12-23 21:16:48,4242700,昨天吃饭AA,普通转账,3300,42,内蒙古,19
2017-12-23 21:17:48,2373600,工资,普通转账,5754,18,云南,98
2017-12-23 21:30:54,716600,-,线上付款,4250,43,黑龙江,57
2017-12-23 21:33:29,4999300,-,线下付款,2393,45,上海,78
2017-12-23 21:33:51,4104200,-,线下付款,348,34,广东,12
2017-12-23 21:37:35,4417000,奖金,跨境转账,3555,25,韩国,92
2017-12-23 21:48:32,4417400,还钱,普通转账,5930,23,重庆,80
2017-12-23 21:49:14,300900,-,线下付款,6828,29,云南,84
2017-12-23 21:51:49,4036500,劳务费,跨境转账,3560,31,柬埔寨,45
2017-12-23 21:53:19,2838800,李xx给张xx的钱,普通转账,4822,40,北京,92
2017-12-23 21:53:25,2365400,本月生活费,跨境转账,6667,32,柬埔寨,33
2017-12-23 21:55:50,528800,-,线下付款,2293,26,北京,75
2017-12-23 21:56:13,4049200,李xx给张xx的钱,普通转账,4013,46,安徽,40
2017-12-23 22:17:40,3145800,工资,普通转账,5698,37,安徽,19
2017-12-23 22:25:55,1717700,-,线下付款,3706,42,内蒙古,75
2017-12-23 22:27:33,4441300,-,线下付款,304,46,内蒙古,98
2017-12-23 22:28:31,1433000,-,线下付款,6844,23,内蒙古,48
2017-12-23 22:47:46,3333400,奖金,普通转账,5683,37,广东,95
2017-12-23 22:49:34,305900,-,线下付款,1011,35,福建,61
2017-12-23 22:57:42,2886400,-,线下付款,3600,34,浙江,11
2017-12-23 22:59:17,398200,-,线上付款,6607,44,重庆,43
2017-12-23 23:00:25,758800,李xx给张xx的钱,普通转账,3786,31,新疆,60
2017-12-23 23:05:58,3110700,-,线下付款,1895,29,重庆,14
2017-12-23 23:10:20,36700,收款,普通转账,1059,40,广东,30
2017-12-23 23:21:38,4133700,昨天吃饭AA,普通转账,572,50,安徽,7
2017-12-23 23:21:44,354700,-,线下付款,1273,47,安徽,15
2017-12-23 23:37:41,2388600,一季度房租,普通转账,5803,32,重庆,80
2017-12-23 23:38:16,454600,-,线下付款,72,33,福建,10
2017-12-23 23:40:22,4366300,本月生活费,普通转账,1251,50,浙江,10
2017-12-23 23:42:29,3938100,-,线上付款,1974,45,四川,86
2017-12-24 00:31:03,4045400,-,线下付款,3704,20,安徽,13
2017-12-24 00:32:16,508800,-,线下付款,6776,29,贵州,6
2017-12-24 00:32:51,1763700,-,线下付款,2892,19,北京,98
2017-12-24 00:37:33,1910400,-,线下付款,2759,19,云南,65
2017-12-24 00:38:15,1007800,王xx专用款,普通转账,1856,35,浙江,17
2017-12-24 00:40:59,2594500,还钱,普通转账,2020,46,浙江,58
2017-12-24 00:44:17,3079100,一季度房租,普通转账,3016,28,云南,88
2017-12-24 00:45:05,613000,-,线上付款,2434,43,广东,18
2017-12-24 00:45:47,878100,王xx专用款,普通转账,5352,29,贵州,65
2017-12-24 00:51:52,1869900,利息,普通转账,6606,19,广东,1
2017-12-24 00:55:10,3507300,本月生活费,普通转账,6771,20,贵州,43
2017-12-24 01:04:13,2958000,-,线下付款,3354,33,内蒙古,52
2017-12-24 01:15:03,994900,拿去花,普通转账,723,23,安徽,96
2017-12-24 01:20:26,3481900,还给你,普通转账,5517,47,上海,100
2017-12-24 01:21:24,2305500,工资,普通转账,6055,23,新疆,44
2017-12-24 01:25:14,383600,-,线下付款,1880,22,北京,43
2017-12-24 01:33:31,2588300,一季度房租,普通转账,5624,34,贵州,36
2017-12-24 01:38:15,311400,劳务费,普通转账,3286,45,四川,65
2017-12-24 01:40:12,4218000,-,线下付款,6685,41,新疆,42
2017-12-24 01:40:55,3192500,-,线下付款,5538,19,新疆,74
2017-12-24 01:42:44,3131700,-,线上付款,3907,44,福建,19
2017-12-24 01:46:51,4193100,-,线下付款,4580,48,北京,3
2017-12-24 01:48:17,4519000,-,线下付款,4013,41,黑龙江,44
2017-12-24 01:48:54,2153300,还钱,普通转账,6345,19,安徽,1
2017-12-24 01:49:32,3107600,-,线下付款,3538,27,安徽,16
2017-12-24 01:50:23,3317400,利息,普通转账,3631,46,重庆,12
2017-12-24 01:53:25,1366100,还给你,普通转账,403,46,广东,72
2017-12-24 01:53:39,261400,王xx专用款,普通转账,1758,30,黑龙江,97
2017-12-24 01:58:01,1123400,-,线下付款,5950,20,黑龙江,64
2017-12-24 01:59:03,1960100,-,线下付款,3183,25,上海,90
2017-12-24 02:17:47,4041600,-,线下付款,6326,41,上海,97
2017-12-24 02:21:29,2541300,还给你,普通转账,2301,36,上海,44
2017-12-24 02:25:45,258000,-,线下付款,2806,22,内蒙古,59
2017-12-24 02:27:53,1411700,-,线下付款,1593,28,浙江,49
2017-12-24 02:30:12,2171000,-,线下付款,584,24,上海,19
2017-12-24 02:38:44,4217100,收款,普通转账,2822,24,黑龙江,34
2017-12-24 02:41:58,1260300,劳务费,普通转账,2294,19,浙江,1
2017-12-24 02:42:08,2142800,还给你,普通转账,3556,34,上海,48
2017-12-24 03:01:26,1330600,-,线下付款,5491,31,内蒙古,90
2017-12-24 03:03:21,3571500,-,线下付款,4655,39,广东,93
2017-12-24 03:04:14,2913500,-,线下付款,4682,37,云南,62
2017-12-24 03:05:55,1058600,-,线下付款,5974,18,安徽,13
2017-12-24 03:06:42,2797400,还钱,普通转账,4247,41,广东,36
2017-12-24 03:13:49,1375400,-,线下付款,1984,18,重庆,33
2017-12-24 03:18:20,2615600,昨天吃饭AA,普通转账,3324,32,云南,42
2017-12-24 03:18:38,1752000,拿去花,普通转账,6440,48,贵州,84
2017-12-24 03:19:26,1619200,一季度房租,普通转账,3167,43,北京,52
2017-12-24 03:21:01,1767700,转账,普通转账,3460,22,上海,36
2017-12-24 03:22:50,492600,昨天吃饭AA,普通转账,4810,42,云南,67
2017-12-24 03:27:31,4640300,奖金,普通转账,5758,49,新疆,67
2017-12-24 03:29:27,3330600,水电费,普通转账,4229,25,福建,27
2017-12-24 03:32:10,666500,还给你,普通转账,932,47,云南,4
2017-12-24 03:33:44,1496100,还给你,普通转账,1668,25,重庆,49
2017-12-24 03:33:49,1739900,拿去花,普通转账,4119,28,上海,97
2017-12-24 03:37:16,1698200,-,线下付款,3009,22,重庆,74
2017-12-24 03:43:03,796400,-,线下付款,1745,38,云南,67
2017-12-24 03:47:01,447200,李xx给张xx的钱,普通转账,4767,32,云南,87
2017-12-24 03:49:34,4767900,还钱,普通转账,4515,20,浙江,5
2017-12-24 03:54:08,2511600,奖金,普通转账,3859,35,浙江,77
2017-12-24 03:54:37,2223800,利息,普通转账,4482,25,广东,79
2017-12-24 03:59:25,1839800,-,线下付款,3852,31,广东,15
2017-12-24 04:06:31,2808700,上次买的xx,普通转账,1233,30,新疆,66
2017-12-24 04:09:35,1605500,-,线上付款,6351,34,浙江,24
2017-12-24 04:10:53,229500,-,线下付款,6638,25,内蒙古,4
2017-12-24 04:14:10,2141200,还给你,跨境转账,3643,47,韩国,19
2017-12-24 04:16:42,581700,一季度房租,普通转账,6400,43,黑龙江,55
2017-12-24 04:18:17,3043300,-,线下付款,4822,37,云南,14
2017-12-24 04:20:03,847900,-,线下付款,3455,33,浙江,15
2017-12-24 04:23:09,2851900,-,线下付款,5253,45,云南,49
2017-12-24 04:23:58,2384200,王xx专用款,普通转账,5116,19,重庆,11
2017-12-24 04:26:14,3035400,-,线下付款,5357,48,新疆,75
2017-12-24 04:26:50,3404600,-,线下付款,937,24,内蒙古,100
2017-12-24 04:29:12,653600,转账,普通转账,2922,26,浙江,73
2017-12-24 04:34:17,251800,-,线下付款,2815,45,安徽,65
2017-12-24 04:35:19,2376200,王xx专用款,普通转账,6303,29,新疆,16
2017-12-24 04:38:48,395000,-,线下付款,5890,30,云南,40
2017-12-24 04:40:28,112800,劳务费,普通转账,1504,27,广东,35
2017-12-24 04:46:45,2049900,劳务费,普通转账,3802,41,贵州,92
2017-12-24 04:57:28,4336700,-,线下付款,2473,44,云南,30
2017-12-24 04:59:50,4097900,王xx专用款,跨境转账,845,25,韩国,52
2017-12-24 05:07:16,1296300,劳务费,跨境转账,3342,35,英国,71
2017-12-24 05:07:17,4749500,一季度房租,普通转账,4228,39,云南,39
2017-12-24 05:09:05,4510800,-,线下付款,4041,45,广东,83
2017-12-24 05:13:22,682800,收款,普通转账,2645,36,四川,92
2017-12-24 05:20:40,4812300,劳务费,普通转账,2062,23,云南,20
2017-12-24 05:20:48,3260200,-,线下付款,989,49,贵州,95
2017-12-24 05:21:44,3608500,本月生活费,普通转账,3427,22,福建,23
2017-12-24 05:27:49,200800,李xx给张xx的钱,跨境转账,655,46,日本,73
2017-12-24 05:30:50,4121600,-,线下付款,637,21,安徽,23
2017-12-24 05:32:30,4627600,-,线下付款,6904,24,上海,7
